time_stamp,humidity_a,humidity_b,temperature_a,temperature_b,pressure,pm2.5_alt_a,pm2.5_alt_b,pm2.5_atm_a,pm2.5_atm_b,pm2.5_cf_1_a,pm2.5_cf_1_b
2023-04-24T20:00:00Z,33.25,,74.25,,1014.523,4.3,4.4,6.35,5.857,6.35,5.857
2023-04-24T21:00:00Z,28.017,,70.916,,1014.621,4.2,4.4,6.415,5.929,6.415,5.929
2023-04-24T22:00:00Z,27.867,,63.8,,1014.947,3.8,4.2,5.783,5.52,5.783,5.52
2023-04-24T23:00:00Z,30.1,,61.2,,1015.109,3.9,4.4,5.84,5.921,5.84,5.921
2023-04-25T00:00:00Z,31.8,,58.833,,1015.678,4.1,4.6,6.113,6.277,6.113,6.277
2023-04-25T01:00:00Z,34.733,,57.133,,1016.258,4.5,5.3,7.309,7.415,7.309,7.415
2023-04-25T02:00:00Z,38.4,,55.1,,1016.553,4.8,6,8.238,8.692,8.238,8.692
2023-04-25T03:00:00Z,40.633,,53.767,,1016.963,5.2,6.5,9.015,9.567,9.015,9.567
2023-04-25T04:00:00Z,43.133,,52.367,,1017.432,4.8,7,8.529,9.905,8.529,9.905
2023-04-25T05:00:00Z,45.666,,51.334,,1017.631,5.2,6.6,9.265,9.843,9.265,9.843
2023-04-25T06:00:00Z,47.267,,50.334,,1017.635,5.4,6.8,9.764,10.28,9.764,10.28
2023-04-25T07:00:00Z,51.3,,49.233,,1017.829,5.9,7.7,11.11,11.575,11.11,11.575
2023-04-25T08:00:00Z,53.1,,48.433,,1018.022,5.7,7.5,10.744,11.118,10.744,11.118
2023-04-25T09:00:00Z,54.133,,47.5,,1018.188,5.6,7.6,10.921,11.486,10.921,11.486
2023-04-25T10:00:00Z,55.1,,47.3,,1018.654,6.4,8.3,12.757,12.669,12.757,12.669
2023-04-25T11:00:00Z,46.633,,54.267,,1018.994,5.6,7.2,10.021,10.347,10.021,10.347
2023-04-25T12:00:00Z,38.767,,60.067,,1019.117,6.9,8.1,11.828,12.003,11.884,12.091
2023-04-25T13:00:00Z,41.367,,57.2,,1019.207,5.7,6.9,9.92,9.994,9.92,9.994
2023-04-25T14:00:00Z,38.916,,58.283,,1019.337,4,4.9,6.267,6.597,6.267,6.597
2023-04-25T15:00:00Z,34.233,,61.067,,1019.182,4,4.6,6.006,6.052,6.006,6.052
2023-04-25T16:00:00Z,29.233,,64.666,,1018.978,3.7,4,5.523,5.027,5.523,5.027
2023-04-25T17:00:00Z,27.066,,66.167,,1018.854,3.5,3.7,5.16,4.68,5.16,4.68
2023-04-25T18:00:00Z,25.467,,66.5,,1018.663,3.4,3.6,5.029,4.505,5.029,4.505
2023-04-25T19:00:00Z,24.467,,67,,1018.569,3.1,3.3,4.573,3.976,4.573,3.976
2023-04-25T20:00:00Z,25.666,,66.133,,1018.899,3.2,3.3,4.641,4.059,4.641,4.059
2023-04-25T21:00:00Z,26,,65.733,,1019.118,3.4,3.6,4.977,4.571,4.977,4.571
2023-04-25T22:00:00Z,26.267,,63.6,,1019.322,3,3.4,4.45,4.027,4.45,4.035
2023-04-25T23:00:00Z,30.2,,60.633,,1019.509,3.2,3.5,4.697,4.461,4.697,4.461
2023-04-26T00:00:00Z,33.1,,58.567,,1020.148,3.3,3.8,4.99,4.92,4.99,4.92
2023-04-26T01:00:00Z,35.067,,56.867,,1020.793,3.2,3.9,4.955,5.04,4.955,5.04
2023-04-26T02:00:00Z,37.367,,55.166,,1021.141,3.5,4.1,5.242,5.433,5.242,5.433
