time_stamp,humidity_a,humidity_b,temperature_a,temperature_b,pressure,pm2.5_alt_a,pm2.5_alt_b,pm2.5_atm_a,pm2.5_atm_b,pm2.5_cf_1_a,pm2.5_cf_1_b
2022-11-03T00:00:00Z,50.166,,58.834,,1023.149,6,5.9,10.195,10.28,10.195,10.28
2022-11-03T01:00:00Z,55.7,,55.867,,1023.422,6.3,6.2,10.802,10.755,10.802,10.755
2022-11-03T02:00:00Z,60.9,,53.3,,1024.022,7.6,7.5,13.212,13,13.212,13
2022-11-03T03:00:00Z,62.5,,51.767,,1024.37,7.6,7.2,13.214,12.747,13.214,12.747
2022-11-03T04:00:00Z,64.7,,50.2,,1024.503,7.4,7.1,12.944,12.219,12.944,12.219
2022-11-03T05:00:00Z,67.534,,48.566,,1024.685,7.8,7.5,13.513,13.613,13.513,13.613
2022-11-03T06:00:00Z,69.3,,47.334,,1025.164,6,6,10.488,10.497,10.488,10.497
2022-11-03T07:00:00Z,69.267,,46.567,,1025.356,4.8,4.7,8.087,7.889,8.087,7.889
2022-11-03T08:00:00Z,69.6,,45.7,,1025.551,5,4.9,8.461,8.363,8.461,8.363
2022-11-03T09:00:00Z,70.667,,44.867,,1026.106,5.2,5.3,8.845,9.364,8.845,9.364
2022-11-03T10:00:00Z,71.166,,43.966,,1026.313,6.6,6.5,11.68,12.343,11.68,12.343
2022-11-03T11:00:00Z,71.8,,43.433,,1026.757,6.8,6.7,12.238,13.098,12.238,13.098
2022-11-03T12:00:00Z,66.466,,48.233,,1027.03,7.9,7.8,13.889,14.661,13.889,14.661
2022-11-03T13:00:00Z,45.3,,60.867,,1027.01,5.8,5.7,9.588,9.643,9.588,9.643
2022-11-03T14:00:00Z,32.967,,69.3,,1026.789,4.5,4.5,7.37,7.284,7.37,7.284
2022-11-03T15:00:00Z,27.6,,76.5,,1026.171,4.7,4.8,7.837,7.674,7.837,7.674
2022-11-03T16:00:00Z,27.666,,78.966,,1025.133,5.1,5.1,8.401,8.097,8.401,8.097
2022-11-03T17:00:00Z,26.834,,80.4,,1024.043,4.3,4.3,7.055,6.71,7.055,6.71
2022-11-03T18:00:00Z,23.767,,83.1,,1023.593,3.7,3.6,6.077,5.555,6.077,5.555
2022-11-03T19:00:00Z,24.8,,80.575,,1023.422,3.7,3.4,6.085,5.253,6.085,5.253
2022-11-03T20:00:00Z,27.2,,77.15,,1023.115,3.9,3.7,6.301,5.568,6.301,5.568
2022-11-03T21:00:00Z,33.908,,71.15,,1022.907,4.7,4.5,7.763,7.332,7.763,7.332
2022-11-03T22:00:00Z,42.6,,66.067,,1023.296,6.2,5.8,10.689,9.824,10.689,9.824
2022-11-03T23:00:00Z,48.959,,63.1,,1023.761,6.5,6.3,11.035,10.643,11.035,10.643
2022-11-04T00:00:00Z,52.1,,61.1,,1023.874,5.8,6.2,9.88,10.427,9.88,10.427
2022-11-04T01:00:00Z,57.8,,58.1,,1023.984,8,8.1,13.761,14.373,13.761,14.373
2022-11-04T02:00:00Z,66.1,,55.716,,1023.809,6.7,6.7,11.288,11.593,11.288,11.593
2022-11-04T03:00:00Z,68,,54.5,,1024.577,6.5,6.8,11.229,11.858,11.229,11.858
2022-11-04T04:00:00Z,70.666,,52.9,,1024.718,7.2,7.2,11.967,12.755,11.967,12.755
2022-11-04T05:00:00Z,73.767,,52.367,,1024.236,7.9,7.6,13.396,13.696,13.396,13.696
2022-11-04T06:00:00Z,76.333,,52.3,,1024.139,10.1,9.7,17.182,17.377,17.182,17.377
2022-11-04T07:00:00Z,74.633,,51.233,,1023.976,10.1,9.9,16.853,18.092,16.853,18.092
2022-11-04T08:00:00Z,75.95,,50.833,,1024.156,9.2,9.1,15.774,17.242,15.774,17.242
2022-11-04T09:00:00Z,77.784,,51.375,,1024.023,5.3,5.1,8.754,9.092,8.754,9.092
2022-11-04T10:00:00Z,76.358,,50.716,,1024.101,5,4.6,8.231,8.128,8.231,8.128
